#source,target,weight
37,82,0.0263925305983
38,38,0.0225005964294
38,39,0.00316625387491
38,40,0.00703449781282
38,41,0.000243903208959
38,44,0.00891435685576
38,48,4.76181407873e-05
38,50,4.48525181586e-06
38,52,0.00533666276389
38,75,3.2737548447e-05
38,76,0.0137985557399
38,79,0.0174220259976
38,82,7.46928561499e-05
39,39,0.0237705262766
39,40,0.0106464101631
39,58,5.78024973088e-06
39,60,0.000879528037405
39,61,3.30118437352e-05
39,62,0.000833597004429
39,63,5.747199869e-05
39,64,0.000398011671075
39,65,2.4788299595e-06
39,66,1.16864080305e-05
39,69,4.52106333155e-05
39,72,0.000436923732232
39,74,1.51433719742e-05
39,76,6.54432221649e-06
39,79,0.000833505052837
39,80,0.000233247923009
39,82,0.00122735907184
40,40,0.00258548107494
40,75,4.93801181852e-06
40,82,0.000971662929708
40,72,1.18703320299e-05
41,72,0.000136197001773
41,41,0.0375115060158
41,42,0.0171163020643
41,44,0.00854846630939
41,45,0.00180560929339
41,77,0.00083694108705
41,47,0.00180971720968
41,76,0.000675495560898
41,52,0.000134880559708
41,53,6.14957500604e-05
41,79,9.16409660595e-05
41,74,0.00592202584755
42,42,0.00642856343324
42,75,0.00790224818587
42,44,1.53893065719e-05
42,45,0.000250831009464
42,77,0.0249148248221
42,47,0.00369895260693
42,48,0.00102006151859
42,76,0.0103096227713
42,82,0.000101838922238
42,74,0.00705717850213
43,76,0.000377062604466
43,74,4.70475911974e-05
43,44,0.0111486308444
43,77,6.57424223453e-05
43,47,0.00276272832992
43,48,5.55791190407e-05
44,44,0.0133238546876
44,47,0.00267137995518
44,48,0.00404155845895
44,52,0.00813320340986
44,53,0.0010215432724
44,54,0.000330857129462
44,55,8.07121275548e-06
44,60,3.79467719939e-06
44,70,1.55167773319e-05
44,72,0.000406026949723
44,74,0.0107073674443
44,76,0.0361769349202
44,77,0.00442320299509
44,79,0.000640627521106
45,77,0.0312260508821
45,69,2.77911117421e-06
45,75,0.0138987038623
45,76,0.00900188991847
45,45,0.00381514201779
45,46,0.00386131786682
45,47,0.00435945440348
45,48,0.00424855384985
45,49,2.47293940324e-05
45,82,0.00160710011954
45,78,0.00443973236154
45,58,4.25642198269e-06
45,74,0.0237479732669
46,77,0.00917735728748
46,69,0.000298350576006
46,70,0.00197442103901
46,71,0.00142500534379
46,72,0.00227942697523
46,73,0.000498293013884
46,74,0.00889144023867
46,46,0.0100422646104
46,47,0.00235844707866
46,48,0.00890645410925
46,49,0.0192195066262
46,50,0.000946591418365
46,82,0.000428326207111
46,78,0.000221633136708
46,56,2.76780154161e-05
46,57,0.000513478315654
47,47,0.0184767422019
47,48,0.0177648962229
47,49,0.00244554570525
47,50,0.000131021439518
47,57,1.61820927654e-06
47,58,2.62208660317e-06
47,69,0.000165663715302
47,70,0.000179439744026
47,71,7.47923977502e-05
47,72,1.26049581137e-05
47,74,0.000362738846585
47,75,0.00236992046455
47,76,0.00651279321883
47,77,0.00375867662866
47,78,0.000186782957238
47,82,0.000141162621588
48,48,0.0255414660722
48,49,0.00307573889679
48,50,0.000900010046943
48,51,0.00172610859066
48,52,7.15300357767e-05
48,53,0.0164767412527
48,54,0.0213707569323
48,55,0.00411573796715
48,58,5.87867577882e-06
48,60,0.000127513482687
48,69,1.79106338422e-06
48,70,8.49091808962e-06
48,74,0.00266741503674
48,75,0.0141145584491
48,76,0.000139200550043
48,77,0.0184562367323
48,78,0.00225365175075
48,82,0.0159442985007
49,49,0.0158690385628
49,50,0.00727114873489
49,57,3.62252971421e-05
49,58,0.000142465019159
49,59,0.00374738891582
49,63,0.000412106871289
49,65,2.17651200005e-06
49,68,4.14977978817e-06
49,69,0.00686506765607
49,70,0.0158262153436
49,71,0.00774414859747
49,72,6.69119634663e-05
49,74,0.000726114557031
49,75,0.000725526402361
49,76,0.000244247657907
49,77,0.00192021936592
49,78,0.000207308953941
49,82,0.000256553970233
50,50,0.0154636573649
50,51,0.00273998863148
50,54,0.0202252562315
50,56,0.00160279041337
50,57,0.00411430221156
50,58,0.000197790850491
50,59,0.00453496456298
50,63,3.0246912998e-05
50,69,0.00155271976191
50,70,0.00229764329913
50,71,0.00173990403806
50,72,0.0017712011377
50,73,3.79293917357e-05
50,74,0.00360497173737
50,75,0.0204656435326
50,76,0.00593876880512
50,77,0.0131521143359
50,78,0.0229647011041
50,82,0.0296808756187
51,51,0.0336458423077
